Indonesia,Simalungun,Pronounciation,Part of Speech,Sentence Examples & Related Forms
bangga,hede,hEdE,Adjective,hede ia halani marbaju na bayu dia bangga karena baju baru
bangga,unsaga,,,
bangga (atas diri sendiri),unsaga,ussaga,Verb,
bangkai,bangkei,bakkEy,Noun,marbau tumang bangkei i bangkai itu sangat bau
bangkai,mayat,mayat,Noun,domma mayup mayat hambing ai bangkai kambing itu sudah hanyut
bangkang,jua,juwa,Verb,; 
bangkit,bait,bait,Verb,bait ahu aku bangkit
bangkit,puho,,,
bangku,bangku,,,
bangsa,ampoldang,appOldaG,Noun,ampoldang Jepang lopak-lopak haganupan bangsa jepang semua berkulit putih
bangsa,bangsa,baGsa,Noun,
banjir,bobang,bObaG,Verb,bobang bah Silou seng tarsaborangi sungai Silou banjir tidak bisa disebarangi
banjir,sumbang,subbaG,Noun,
banjir keringat,momot,mOmOt,Verb,hadoye ni mar momot dia  banjir keringat
bantal,halangulu,,,
bantal,langkian,lakkiyan,Noun,apei do langkian ni modom tikar bantalnya tidur
banting,pas,,,
bantu,astu,astu,Verb,astu inang ai
bantu,bastu,bastu,Verb,bastu ahu mahorja bantu aku bekerja
bantu,kahei,kahEy,Verb,tolong; ; 
bantu,sampat,sappat,Verb,"sampat lobei ahu sadari on ambia! bantu dulu aku satu hari ini, nak!"
bantuan,keheion,,Noun,
bantuan,keheion ,,,
banyak,bahat,bahat,Adjective,
banyak,bosei,bOsey,Adjective,bosei bodat i harangan banyak monyet di hutan
banyak,buei,buEy,Raya,a 1 besar jumlahnya; tidak sedikit;
banyak,hanar,hanar,Adjective,buah ni durian hanar i toruh ni bonani buah durian banyak di bawah pokoknya
banyak,harantui,,,
